Ref,EWTS Varient,Area,Task,Status,Completed,Delta,Escalated,Avg_col
MCMRMDRS1005,mcmr,hr_planning_and_recruitement,"Once approved in the HR system and pre-classified JD provided, HR advertises key initial longer-term positions within 48 hours.",Not Achieved,-,-365,Not Escalated,
MCMRMDRS1005,mcmr,information_management,A multi country IM Snapshot is in place and updated timely to display the situation and the activities being implemented,Missing,-,,Not Escalated,0.0
MCMRMDRS1005,mcmr,planning_and_resource_mobilization,Disaster Brief done for the  Management Call to inform the FAD between 48-72 h,Not Achieved,-,-365,Not Escalated,
MCMRMDRS1005,mcmr,planning_and_resource_mobilization,EA is launched within 24 hours after the FAD has been approved (or within 48 hours after field report was published). ,Not Achieved,-,-365,Not Escalated,
MCMRMDRS1005,mcmr,planning_and_resource_mobilization,Operational Strategy validated 12 days after the EA ,Not Achieved,-,-365,Not Escalated,
MCMRMDRS1005,mcmr,planning_and_resource_mobilization,Supply chain plan developed for the regional needs between logs and ops  within 1 week of the approved EA,Not Achieved,-,-365,Not Escalated,
MCMRMDRS1005,mcmr,procurement_and_logistics,Supply chain plan developed for the regional needs between logs and ops  within 1 week of the approved EA,Not Achieved,-,-365,Not Escalated,
MCMRMDRS1005,mcmr,procurement_and_logistics,Fully approved and submitted multi country requisitions for NFIs within 1 week of the EA (when relevant) ,Not Achieved,-,-365,Not Escalated,
MCMRMDRS1005,mcmr,procurement_and_logistics,NFI (or emergencies items) being delivered to the country in 3 days since the Requistion,Not Achieved,-,-365,Not Escalated,
MCMRMDRS1005,mcmr,surge,Regional RR personnel Alert sent within 12h of the request ,Not Achieved,-,-365,Not Escalated,
MCMRMDRS1005,mcmr,surge,Identification of 1st RR personnel within 48h of the 1st alert ,Not Achieved,-,-365,Not Escalated,
